Title,Link,Heritage Category,Grade,Location
RUINS OF WIGMORE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1178673,Listing,I,RUINS OF WIGMORE CASTLE  Wigmore  County of Herefordshire
SOUTHAMPTON CASTLE WALL RUNNING FROM FOREST VIEW TO CASTLE LANE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1178677,Listing,II*,SOUTHAMPTON CASTLE WALL RUNNING FROM FOREST VIEW TO CASTLE LANE  CASTLE LANE  SOUTHAMPTON  City of Southampton
CALDWALL HALL,https://HistoricEngland.org.uk/listing/the-list/list-entry/1179037,Listing,II*,CALDWALL HALL  CASTLE ROAD  KIDDERMINSTER  Wyre Forest  Worcestershire
FRAGMENT OF CASTLE WALL AT SU 6096 8978,https://HistoricEngland.org.uk/listing/the-list/list-entry/1181852,Listing,I,FRAGMENT OF CASTLE WALL AT SU 6096 8978  CASTLE LANE  Wallingford  South Oxfordshire  Oxfordshire
FRAGMENT OF CASTLE TO NORTH OF MANOR HOUSE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1182583,Listing,II,FRAGMENT OF CASTLE TO NORTH OF MANOR HOUSE  ASCOTT D'OYLEY  Ascott-under-Wychwood  West Oxfordshire  Oxfordshire
OLD WARDOUR CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1183429,Listing,I,OLD WARDOUR CASTLE  WARDOUR PARK  Tisbury  Wiltshire
ST BRIAVELS CASTLE AND CURTAIN WALL,https://HistoricEngland.org.uk/listing/the-list/list-entry/1186632,Listing,I,ST BRIAVELS CASTLE AND CURTAIN WALL  CHURCH STREET  St. Briavels  Forest of Dean  Gloucestershire
RUINS OF SUTTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1186956,Listing,II,RUINS OF SUTTON CASTLE  RECTORY LANE  Sutton Valence  Maidstone  Kent
RUINS OF WHORLTON CASTLE UNDERCROFTS,https://HistoricEngland.org.uk/listing/the-list/list-entry/1189310,Listing,II*,RUINS OF WHORLTON CASTLE UNDERCROFTS  CASTLE BANK  Whorlton  Hambleton  North Yorkshire
CASTLE WALL ATTACHED TO NORTH CORNER OF CLIFTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1189981,Listing,II,CASTLE WALL ATTACHED TO NORTH CORNER OF CLIFTON CASTLE  CLIFTON CASTLE  Clifton-on-Yore  Hambleton  North Yorkshire
SNAPE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1190147,Listing,I,SNAPE CASTLE  SNAPE  Snape with Thorp  Hambleton  North Yorkshire
THE MARMION TOWER,https://HistoricEngland.org.uk/listing/the-list/list-entry/1190271,Listing,I,THE MARMION TOWER  CHURCH STREET  West Tanfield  Hambleton  North Yorkshire
CONISBROUGH CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1192747,Listing,I,CONISBROUGH CASTLE  CONISBROUGH  Doncaster
ROCKINGHAM CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1193409,Listing,I,ROCKINGHAM CASTLE  A6003  Rockingham  Corby  Northamptonshire
LANCASTER CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1194905,Listing,I,LANCASTER CASTLE  CASTLE PARK|LANCASTER CASTLE  CASTLE PARADE  LANCASTER  Lancaster  Lancashire
Remains of Newark Castle,https://HistoricEngland.org.uk/listing/the-list/list-entry/1196278,Listing,I,Castle Gate  Newark  Nottinghamshire  NG24 1BG  Newark  Newark and Sherwood  Nottinghamshire
CASTLE FOUNDATIONS,https://HistoricEngland.org.uk/listing/the-list/list-entry/1196763,Listing,II,CASTLE FOUNDATIONS  SILVERSALE ROAD  NEWCASTLE UNDER LYME  Newcastle-under-Lyme  Staffordshire
"NISI PRIUS COURTHOUSE, ASSOCIATED OFFICES AND GATE ARCH",https://HistoricEngland.org.uk/listing/the-list/list-entry/1196940,Listing,I,NISI PRIUS COURTHOUSE  ASSOCIATED OFFICES AND GATE ARCH  ENGLISH STREET  CARLISLE  Carlisle  Cumbria
INNER BAILEY PALACE RANGE INCLUDING PART OF QUEEN MARY'S TOWER,https://HistoricEngland.org.uk/listing/the-list/list-entry/1197007,Listing,I,INNER BAILEY PALACE RANGE INCLUDING PART OF QUEEN MARY'S TOWER  CARLISLE CASTLE  CARLISLE  Carlisle  Cumbria
TAMWORTH CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1197020,Listing,I,TAMWORTH CASTLE  HOLLOWAY  TAMWORTH  Tamworth  Staffordshire
DARTMOUTH CASTLE AND GUN PLATFORMS TO WEST AND SOUTH,https://HistoricEngland.org.uk/listing/the-list/list-entry/1197563,Listing,I,DARTMOUTH CASTLE AND GUN PLATFORMS TO WEST AND SOUTH  DARTMOUTH CASTLE  Dartmouth  South Hams  Devon
VAULTED CHAMBERS AT BRISTOL CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1202476,Listing,II,VAULTED CHAMBERS AT BRISTOL CASTLE  QUEEN STREET  BRISTOL  City of Bristol
CASTLE FARMHOUSE AND RUINS OF MELBOURNE CASTLE AND OUTBUILDINGS,https://HistoricEngland.org.uk/listing/the-list/list-entry/1204011,Listing,II,CASTLE FARMHOUSE AND RUINS OF MELBOURNE CASTLE AND OUTBUILDINGS  CASTLE STREET  Melbourne  South Derbyshire  Derbyshire
CASTLE WALL REMAINS,https://HistoricEngland.org.uk/listing/the-list/list-entry/1204473,Listing,II,CASTLE WALL REMAINS  BROADWEIR  BROADMEAD  BRISTOL  Non Civil Parish  City of Bristol
STARBOROUGH CASTLE WALLS AND GARDEN HOUSE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1205666,Listing,II*,STARBOROUGH CASTLE WALLS AND GARDEN HOUSE  MOOR LANE  Dormansland  Tandridge  Surrey
Bearscove Castle,https://HistoricEngland.org.uk/listing/the-list/list-entry/1208168,Listing,I,Bearscove Castle  Bayards Cove  Dartmouth  South Hams  Devon
RUINS OF WILTON CASTLE AND HOUSE ATTACHED TO SOUTH,https://HistoricEngland.org.uk/listing/the-list/list-entry/1214349,Listing,I,RUINS OF WILTON CASTLE AND HOUSE ATTACHED TO SOUTH  WILTON  Bridstow  County of Herefordshire
TATTERSHALL CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1215317,Listing,I,TATTERSHALL CASTLE  SLEAFORD ROAD  Tattershall  East Lindsey  Lincolnshire
"ROUND TOWERS, TATTERSHALL CASTLE",https://HistoricEngland.org.uk/listing/the-list/list-entry/1216195,Listing,I,ROUND TOWERS  TATTERSHALL CASTLE  SLEAFORD ROAD  Tattershall  East Lindsey  Lincolnshire
HAYTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1216980,Listing,I,HAYTON CASTLE  HAYTON  Hayton and Mealo  Allerdale  Cumbria
THE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1218822,Listing,I,THE CASTLE  THE SCAR|THE CASTLE  BRIDGEGATE|THE CASTLE  THE SCAR  Barnard Castle  County Durham
PEMBRIDGE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1224913,Listing,I,PEMBRIDGE CASTLE  PEMBRIDGE CASTLE  Welsh Newton  County of Herefordshire
PORTCHESTER CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1229190,Listing,I,PORTCHESTER CASTLE  CASTLE STREET  PORTCHESTER  FAREHAM  Fareham  Hampshire
STOURTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1232008,Listing,II,STOURTON CASTLE  STOURTON  Kinver  South Staffordshire  Staffordshire
CAMBER CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1234738,Listing,I,CAMBER CASTLE  SEA ROAD  WINCHELSEA  Icklesham  Rother  East Sussex
RED CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1237180,Listing,II,RED CASTLE  HAWKSTONE PARK  Weston-under-Redcastle  Shropshire
REMAINS OF CASTLE WALLS TO SOUTH AND WEST OF UPSALL CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1241639,Listing,II,REMAINS OF CASTLE WALLS TO SOUTH AND WEST OF UPSALL CASTLE  UPSALL ROAD  Upsall  Hambleton  North Yorkshire
SHREWSBURY CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1246877,Listing,I,SHREWSBURY CASTLE  CASTLE GATES  Shrewsbury  Shropshire
"NOTTINGHAM CASTLE GATEHOUSE, OUTER BRIDGE AND ADJOINING GATEWAY",https://HistoricEngland.org.uk/listing/the-list/list-entry/1247094,Listing,I,NOTTINGHAM CASTLE GATEHOUSE  OUTER BRIDGE AND ADJOINING GATEWAY  CASTLE ROAD  NOTTINGHAM  City of Nottingham
REMAINS OF OLD SARUM CASTLE AND CATHEDRAL,https://HistoricEngland.org.uk/listing/the-list/list-entry/1248682,Listing,I,REMAINS OF OLD SARUM CASTLE AND CATHEDRAL  Salisbury  Wiltshire
PEVERIL CASTLE CURTAIN WALLS AND FRAGMENTARY FOUNDATIONS,https://HistoricEngland.org.uk/listing/the-list/list-entry/1250966,Listing,I,PEVERIL CASTLE CURTAIN WALLS AND FRAGMENTARY FOUNDATIONS  MARKET PLACE  Castleton  High Peak  Derbyshire
REMAINS OF SHEFFIELD CASTLE BENEATH CASTLE MARKET (1),https://HistoricEngland.org.uk/listing/the-list/list-entry/1254808,Listing,II,REMAINS OF SHEFFIELD CASTLE BENEATH CASTLE MARKET (1)  EXCHANGE STREET  SHEFFIELD  Sheffield
REMAINS OF SHEFFIELD CASTLE BENAETH CASTLE MARKET (2),https://HistoricEngland.org.uk/listing/the-list/list-entry/1254809,Listing,II,REMAINS OF SHEFFIELD CASTLE BENAETH CASTLE MARKET (2)  EXCHANGE STREET  SHEFFIELD  Sheffield
REMAINS OF SHEFFIELD CASTLE BENEATH CASTLE MARKET (3),https://HistoricEngland.org.uk/listing/the-list/list-entry/1254810,Listing,II,REMAINS OF SHEFFIELD CASTLE BENEATH CASTLE MARKET (3)  EXCHANGE STREET  SHEFFIELD  Sheffield
CHARTLEY CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1258139,Listing,II*,CHARTLEY CASTLE  Stowe-by-Chartley  Stafford  Staffordshire
SKELTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1262832,Listing,I,SKELTON CASTLE  MARSKE LANE  SKELTON  Skelton and Brotton  Redcar and Cleveland
RANGE APPROXIMATELY 20 METRES SOUTH EAST OF CASTLE FARMHOUSE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1269775,Listing,II*,RANGE APPROXIMATELY 20 METRES SOUTH EAST OF CASTLE FARMHOUSE  CHENEY LONGVILLE  Wistanstow  Shropshire
BRONCROFT CASTLE AND ATTACHED WALL,https://HistoricEngland.org.uk/listing/the-list/list-entry/1269895,Listing,II,BRONCROFT CASTLE AND ATTACHED WALL  BRONCROFT  Diddlebury  Shropshire
"Herstmonceux Castle, with attached bridges to north and south and causeway with moat retaining walls to west.",https://HistoricEngland.org.uk/listing/the-list/list-entry/1272785,Listing,I,Herstmonceux Castle  Herstmonceux Park  HERSTMONCEUX PARK  Herstmonceux  Wealden  East Sussex
BAMBURGH CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1280155,Listing,I,BAMBURGH CASTLE  BAMBURGH  Bamburgh  Northumberland
RUFUS CASTLE WITH BRIDGE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1280727,Listing,I,RUFUS CASTLE WITH BRIDGE  CHURCH OPE ROAD  EASTON  Portland  Dorset
PIEL CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1283004,Listing,I,PIEL CASTLE  PIEL ISLAND  BARROW IN FURNESS  Barrow-in-Furness  Cumbria
Caister Castle,https://HistoricEngland.org.uk/listing/the-list/list-entry/1287573,Listing,I,Castle Lane  Nr Great Yarmouth  Norfolk  West Caister  Great Yarmouth  Norfolk
"BERWICK CASTLE (FRAGMENTS, INCLUDING TOWERS AND WALLS AND STEPS)",https://HistoricEngland.org.uk/listing/the-list/list-entry/1290213,Listing,I,BERWICK CASTLE (FRAGMENTS  INCLUDING TOWERS AND WALLS AND STEPS)  Berwick-upon-Tweed  Northumberland
GREYSTOKE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1290545,Listing,II*,GREYSTOKE CASTLE  GREYSTOKE PARK  Greystoke  Eden  Cumbria
Donnington Castle,https://HistoricEngland.org.uk/listing/the-list/list-entry/1291031,Listing,I,Donnington Castle  Castle Lane  Donnington  Newbury  Shaw cum Donnington  West Berkshire
"Ludlow Castle, the standing structural remains",https://HistoricEngland.org.uk/listing/the-list/list-entry/1291698,Listing,I,Ludlow Castle  Castle Square  Ludlow  Shropshire  Ludlow  Shropshire
BARNWELL CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1294426,Listing,I,BARNWELL CASTLE  BARNWELL ST ANDREW  Barnwell  East Northamptonshire  Northamptonshire
COWTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1294712,Listing,I,COWTON CASTLE  South Cowton  Hambleton  North Yorkshire
REMAINS OF CLUN CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1295475,Listing,I,REMAINS OF CLUN CASTLE  CASTLE STREET  Clun  Shropshire
WALDEN CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1297737,Listing,I,WALDEN CASTLE  MUSEUM STREET  Saffron Walden  Uttlesford  Essex
"LAUNCESTON CASTLE<br />
LAUNCESTON CASTLE KEEP AND ATTACHED BUILDINGS<br />
LAUNCESTON CASTLE KEEP AND ATTACKED BUILDINGS",https://HistoricEngland.org.uk/listing/the-list/list-entry/1297840,Listing,I,LAUNCESTON CASTLE  ST THOMAS ROAD|LAUNCESTON CASTLE KEEP AND ATTACKED BUILDINGS  CASTLE DYKE|LAUNCESTON CASTLE KEEP AND ATTACHED BUILDINGS  WESTERN ROAD  Launceston  Cornwall
RUINS OF LYONSHALL CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1301287,Listing,II,RUINS OF LYONSHALL CASTLE  Lyonshall  County of Herefordshire
KILPECK CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1301419,Listing,II,KILPECK CASTLE  KILPECK  Kilpeck  County of Herefordshire
THIRLWALL CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1302433,Listing,I,THIRLWALL CASTLE  B 6318  THIRLWALL  Thirlwall  Northumberland
REMAINS OF HEATON CASTLE CIRCA 30 YARDS NORTH WEST OF FARMHOUSE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1304159,Listing,II*,REMAINS OF HEATON CASTLE CIRCA 30 YARDS NORTH WEST OF FARMHOUSE  CASTLE HEATON  Cornhill-on-Tweed  Northumberland
"BEVERSTON CASTLE, INCLUDING GAZEBO AND BRIDGE",https://HistoricEngland.org.uk/listing/the-list/list-entry/1304508,Listing,I,BEVERSTON CASTLE  INCLUDING GAZEBO AND BRIDGE  BEVERSTON VILLAGE  Beverston  Cotswold  Gloucestershire
"CASTLE, REMAINS OF",https://HistoricEngland.org.uk/listing/the-list/list-entry/1307325,Listing,II,CASTLE  REMAINS OF  CHURCH STREET  Ruyton-XI-Towns  Shropshire
BOLINGBROKE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1309023,Listing,I,BOLINGBROKE CASTLE  MOAT LANE  Bolingbroke  East Lindsey  Lincolnshire
WITTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1311117,Listing,II*,WITTON CASTLE  SLOSHES LANE  Evenwood and Barony  County Durham
SCALEBY CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1311782,Listing,I,SCALEBY CASTLE  SCALEBY  Scaleby  Carlisle  Cumbria
GLEASTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1312114,Listing,I,GLEASTON CASTLE  GLEASTON  Aldingham  South Lakeland  Cumbria
HARSLEY CASTLE FARMHOUSE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1315142,Listing,II*,HARSLEY CASTLE FARMHOUSE  West Harlsey  Hambleton  North Yorkshire
OLD MULGRAVE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1316096,Listing,I,OLD MULGRAVE CASTLE  Lythe  Scarborough  North Yorkshire
SKIPTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1316962,Listing,I,SKIPTON CASTLE  THE BAILEY  Skipton  Craven  North Yorkshire
THE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1318398,Listing,I,THE CASTLE  Richmond  Richmondshire  North Yorkshire
MIDDLEHAM CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1318543,Listing,I,MIDDLEHAM CASTLE  CASTLE HILL  Middleham  Richmondshire  North Yorkshire
SIZERGH CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1318962,Listing,I,SIZERGH CASTLE  Helsington  South Lakeland  Cumbria
HEMYOCK CASTLE GATEHOUSE AND CURTAIN WALLS,https://HistoricEngland.org.uk/listing/the-list/list-entry/1325852,Listing,II*,HEMYOCK CASTLE GATEHOUSE AND CURTAIN WALLS  CORNHILL  HEMYOCK  Hemyock  Mid Devon  Devon
KIRKOSWALD CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1327059,Listing,II,KIRKOSWALD CASTLE  KIRKOSWALD  Kirkoswald  Eden  Cumbria
HAYES CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1335998,Listing,II,HAYES CASTLE  HAYES CASTLE ROAD  DISTINGTON  Distington  Copeland  Cumbria
ROCHESTER CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1336100,Listing,I,ROCHESTER CASTLE  ROCHESTER  Medway
NETLEY CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1336957,Listing,II*,NETLEY CASTLE  ABBEY HILL  Hound  Eastleigh  Hampshire
RABY CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1338625,Listing,I,RABY CASTLE  RABY PARK  Raby with Keverstone  County Durham
Berkeley Castle,https://HistoricEngland.org.uk/listing/the-list/list-entry/1340692,Listing,I,Berkeley Castle  Berkeley  Berkeley  Stroud  Gloucestershire
CASTLE INCLUDING SOUTH WEST MOAT BRIDGE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1342469,Listing,I,CASTLE INCLUDING SOUTH WEST MOAT BRIDGE  Old Buckenham  Breckland  Norfolk
DUDLEY CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1343187,Listing,I,DUDLEY CASTLE  CASTLE HILL  DUDLEY  Dudley
SALTWOOD CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1344198,Listing,I,SALTWOOD CASTLE  CASTLE ROAD  SALTWOOD  Saltwood  Folkestone and Hythe  Kent
WESTENHANGER MANOR,https://HistoricEngland.org.uk/listing/the-list/list-entry/1344223,Listing,I,WESTENHANGER MANOR  STONE STREET  WESTENHANGER  Stanford  Folkestone and Hythe  Kent
GOODRICH CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1348917,Listing,I,GOODRICH CASTLE  Goodrich  County of Herefordshire
HEIGHLEY CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1353703,Listing,II,HEIGHLEY CASTLE  HEIGHLEY LANE  Madeley  Newcastle-under-Lyme  Staffordshire
LEYBOURNE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1363097,Listing,II*,LEYBOURNE CASTLE  MALLING ROAD  Leybourne  Tonbridge and Malling  Kent
WARWICK CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1364805,Listing,I,WARWICK CASTLE  Warwick  Warwick  Warwickshire
SANDAL CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1366010,Listing,II*,SANDAL CASTLE  MANYGATE LANE  SANDAL  WAKEFIELD  Wakefield
MORETON CORBET CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1366802,Listing,I,MORETON CORBET CASTLE  MORETON CORBET  Moreton Corbet and Lee Brockhurst  Shropshire
"WATTLESBOROUGH CASTLE, REMAINS OF, ADJOINING WATTLESBOROUGH TO NORTH WEST",https://HistoricEngland.org.uk/listing/the-list/list-entry/1366883,Listing,I,WATTLESBOROUGH CASTLE  REMAINS OF  ADJOINING WATTLESBOROUGH TO NORTH WEST  Alberbury with Cardeston  Shropshire
REMAINS OF SHRAWARDINE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1366944,Listing,II,REMAINS OF SHRAWARDINE CASTLE  SHRAWARDINE  Montford  Shropshire
"OSWESTRY CASTLE, REMAINS OF",https://HistoricEngland.org.uk/listing/the-list/list-entry/1367336,Listing,II,OSWESTRY CASTLE  REMAINS OF  HORSE MARKET|OSWESTRY CASTLE  REMAINS OF  ARTHUR STREET  Oswestry  Shropshire
SHIRBURN CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1368852,Listing,I,SHIRBURN CASTLE  SHIRBURN PARK  Shirburn  South Oxfordshire  Oxfordshire
"ST GEORGES TOWER, ST GEORGES CHAPEL CRYPT AND D WING INCLUDING THE DEBTORS TOWER",https://HistoricEngland.org.uk/listing/the-list/list-entry/1369490,Listing,I,ST GEORGES TOWER  ST GEORGES CHAPEL CRYPT AND D WING INCLUDING THE DEBTORS TOWER  NEW ROAD  HM PRISON OXFORD  OXFORD  Oxford  Oxfordshire
WELL HOUSE OXFORD CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1369493,Listing,I,WELL HOUSE OXFORD CASTLE  NEW ROAD  HM PRISON OXFORD  OXFORD  Oxford  Oxfordshire
PRUDHOE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1370476,Listing,I,PRUDHOE CASTLE  STATION ROAD  Prudhoe  Northumberland
"MITFORD CASTLE, REMAINS OF INNER WARD AND KEEP",https://HistoricEngland.org.uk/listing/the-list/list-entry/1370755,Listing,I,MITFORD CASTLE  REMAINS OF INNER WARD AND KEEP  MITFORD  Mitford  Northumberland
FORD CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1371004,Listing,I,FORD CASTLE  Ford  Northumberland
"THE CASTLE, STABLE COURT AND COVERED RIDING SCHOOL INCLUDING WEST WALL OF RIDING SCHOOL",https://HistoricEngland.org.uk/listing/the-list/list-entry/1371308,Listing,I,ALNWICK CASTLE  THE CASTLE  STABLE COURT AND COVERED RIDING SCHOOL INCLUDING WEST WALL OF RIDING SCHOOL  Alnwick  Northumberland
THE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1374431,Listing,I,THE CASTLE  CASTLE HILL  Tutbury  East Staffordshire  Staffordshire
THE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1374687,Listing,I,THE CASTLE  CASTLE HILL ROAD  Alton  Staffordshire Moorlands  Staffordshire
THE CASTLE KEEP,https://HistoricEngland.org.uk/listing/the-list/list-entry/1377881,Listing,I,THE CASTLE KEEP  CASTLE HILL  GUILDFORD  Guildford  Surrey
HOLDGATE HALL,https://HistoricEngland.org.uk/listing/the-list/list-entry/1383406,Listing,II,HOLDGATE HALL  HOLDGATE  Abdon  Shropshire
TIVERTON CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1384869,Listing,I,TIVERTON CASTLE  PARK HILL  TIVERTON  Tiverton  Mid Devon  Devon
LINCOLN CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1388491,Listing,I,LINCOLN CASTLE  CASTLE HILL  LINCOLN  Non Civil Parish  Lincoln  Lincolnshire
